invoice_no,invoice_date,customer_id,country,quantity,amount,total_sales,year,month,month_name
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123,22933,2820759,2021,3,March
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163,20973,3418599,2021,11,November
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1,3995,3995,2021,4,April
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357,34483,12310431,2021,10,October
576630,2021-11-16 08:38:00,13816.0,Germany,91,19998,1819818,2021,11,November
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16,3000,48000,2020,12,December
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64,7728,494592,2021,2,February
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10,6750,67500,2021,3,March
570651,2021-10-11 13:34:00,14911.0,EIRE,86,32135,2763610,2021,10,October
575581,2021-11-10 11:53:00,12659.0,France,105,9168,962640,2021,11,November
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96,72000,6912000,2021,12,December
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139,53015,7369085,2021,2,February
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1,295,295,2021,8,August
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222,57600,12787200,2021,3,March
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164,31160,5110240,2021,11,November
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78,13290,1036620,2021,4,April
576083,2021-11-14 08:22:00,17404.0,Sweden,1060,123848,131278880,2021,11,November
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160,24974,3995840,2021,10,October
537026,2020-12-03 16:35:00,12395.0,Belgium,528,34610,18274080,2020,12,December
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72,14004,1008288,2021,5,May
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72,15560,1120320,2021,4,April
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144,15264,2198016,2021,6,June
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72,19362,1394064,2021,4,April
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19,7125,135375,2021,11,November
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465,49376,22959840,2021,9,September
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323,65623,21196229,2021,9,September
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364,104864,38170496,2020,12,December
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5,4125,20625,2021,12,December
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154,33929,5225066,2021,1,January
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72,12888,927936,2021,11,November
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467,83595,39038865,2021,9,September
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108,30442,3287736,2021,8,August
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172,80076,13773072,2021,8,August
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40,22680,907200,2020,12,December
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58,11111,644438,2021,11,November
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56,16080,900480,2021,7,July
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200,43743,8748600,2021,10,October
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62,14311,887282,2021,11,November
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129,38031,4905999,2021,10,October
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172,33176,5706272,2021,1,January
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262,30502,7991524,2021,5,May
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286,41358,11828388,2021,9,September
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342,34920,11942640,2021,11,November
572272,2021-10-21 16:18:00,13171.0,United Kingdom,60,13254,795240,2021,10,October
577783,2021-11-21 16:20:00,18139.0,United Kingdom,1644,278640,458084160,2021,11,November
578757,2021-11-25 11:41:00,12748.0,United Kingdom,256,42041,10762496,2021,11,November
542351,2021-01-27 12:13:00,14560.0,United Kingdom,39,15225,593775,2021,1,January
559164,2021-07-06 16:39:00,16422.0,United Kingdom,406,58746,23850876,2021,7,July
578150,2021-11-23 11:18:00,16020.0,United Kingdom,10,1650,16500,2021,11,November
558770,2021-07-03 15:19:00,12748.0,United Kingdom,60,11555,693300,2021,7,July
580386,2021-12-04 10:29:00,18065.0,United Kingdom,50,18890,944500,2021,12,December
570252,2021-10-10 09:14:00,14665.0,United Kingdom,238,55952,13316576,2021,10,October
536782,2020-12-02 15:18:00,17567.0,United Kingdom,244,51795,12637980,2020,12,December
551984,2021-05-05 14:37:00,15841.0,United Kingdom,234,28166,6590844,2021,5,May
564476,2021-08-25 12:57:00,12610.0,Italy,168,30950,5199600,2021,8,August
540353,2021-01-06 14:53:00,13764.0,United Kingdom,282,49989,14096898,2021,1,January
558706,2021-07-01 12:52:00,16839.0,United Kingdom,320,41696,13342720,2021,7,July
566278,2021-09-11 14:05:00,13614.0,United Kingdom,67,30215,2024405,2021,9,September
