customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
12346.0,326,1,572818087400,1,1,5,115,Lost Customers
12347.0,2,7,183923736,5,5,5,555,Champions
12348.0,75,4,142225564,2,4,5,245,Potential Customers
12349.0,19,1,110901405,4,1,5,415,At Risk
12350.0,310,1,6587680,1,1,2,112,Lost Customers
12352.0,36,8,14433137,3,5,3,353,Potential Customers
12353.0,204,1,178000,1,1,1,111,Lost Customers
12354.0,232,1,57208200,1,1,4,114,Lost Customers
12355.0,214,1,11025600,1,1,3,113,Lost Customers
12356.0,23,3,294072187,4,3,5,435,Potential Customers
12357.0,33,1,1681037036,4,1,5,415,At Risk
12358.0,2,2,14959960,5,2,3,523,At Risk
12359.0,58,4,321894152,3,4,5,345,Potential Customers
12360.0,52,3,111109770,3,3,5,335,Potential Customers
12361.0,287,1,1728090,1,1,1,111,Lost Customers
12362.0,3,10,119720274,5,5,5,555,Champions
12363.0,110,2,11621160,2,2,3,223,Lost Customers
12364.0,8,4,59664812,5,4,4,544,Loyal Customers
12365.0,291,2,5580006,1,2,2,122,Lost Customers
12367.0,4,1,2921970,5,1,2,512,At Risk
12370.0,51,4,269692749,3,4,5,345,Potential Customers
12371.0,45,2,89251272,3,2,5,325,At Risk
12372.0,72,3,35659312,3,3,4,334,Potential Customers
12373.0,311,1,7182620,1,1,2,112,Lost Customers
12374.0,25,1,25408206,4,1,4,414,At Risk
12375.0,11,2,4071130,5,2,2,522,At Risk
12377.0,315,2,81796208,1,2,5,125,Lost Customers
12378.0,130,1,1013779998,2,1,5,215,Lost Customers
12379.0,82,2,17393664,2,2,3,223,Lost Customers
12380.0,22,4,79052484,4,4,5,445,Loyal Customers
12381.0,5,5,79536250,5,4,5,545,Loyal Customers
12383.0,185,5,88255597,1,4,5,145,Potential Customers
12384.0,29,2,3687190,4,2,2,422,At Risk
12386.0,338,2,7542460,1,2,2,122,Lost Customers
12388.0,16,6,95749602,4,4,5,445,Loyal Customers
12390.0,80,1,19409352,2,1,3,213,Lost Customers
12391.0,22,1,13826700,4,1,3,413,At Risk
12393.0,72,4,36845440,3,4,4,344,Potential Customers
12394.0,64,2,63717836,3,2,5,325,At Risk
12395.0,19,12,60845157,4,5,4,454,Loyal Customers
12397.0,36,2,152328155,3,2,5,325,At Risk
12398.0,46,1,228011004,3,1,5,315,At Risk
12399.0,119,4,39795990,2,4,4,244,Potential Customers
12401.0,303,1,92730,1,1,1,111,Lost Customers
12402.0,323,1,2120640,1,1,1,111,Lost Customers
12403.0,50,1,4105920,3,1,2,312,At Risk
12405.0,149,1,146580423,2,1,5,215,Lost Customers
12406.0,22,2,312455250,4,2,5,425,At Risk
12407.0,50,5,58978314,3,4,4,344,Potential Customers
12408.0,33,5,97547524,4,4,5,445,Loyal Customers
12409.0,79,3,3120707143,2,3,5,235,Potential Customers
12410.0,309,2,12748599,1,2,3,123,Lost Customers
12412.0,75,3,35217704,2,3,4,234,Potential Customers
12413.0,67,3,10411145,3,3,3,333,Potential Customers
12414.0,217,3,5669730,1,3,2,132,Potential Customers
12415.0,24,21,117258913853,4,5,5,455,Loyal Customers
12417.0,3,9,67347379,5,5,5,555,Champions
12418.0,113,1,27211206,2,1,4,214,Lost Customers
12420.0,64,1,20713455,3,1,4,314,At Risk
12421.0,16,4,10144159,4,4,3,443,Loyal Customers
12422.0,96,3,11209990,2,3,3,233,Potential Customers
12423.0,1,8,32423731,5,5,4,554,Loyal Customers
12424.0,163,2,84136736,2,2,5,225,Lost Customers
12425.0,78,1,38549120,2,1,4,214,Lost Customers
12426.0,195,1,15034434,1,1,3,113,Lost Customers
12427.0,22,3,13769542,4,3,3,433,Potential Customers
12428.0,26,9,555305432,4,5,5,455,Loyal Customers
12429.0,9,4,157442948,5,4,5,545,Loyal Customers
12430.0,43,1,2999880,3,1,2,312,At Risk
12431.0,36,15,145157027,3,5,5,355,Potential Customers
12432.0,43,5,363157776,3,4,5,345,Potential Customers
12433.0,1,7,2561555797,5,5,5,555,Champions
12434.0,85,2,18684638,2,2,3,223,Lost Customers
12435.0,80,2,802619061,2,2,5,225,Lost Customers
12436.0,100,1,10740111,2,1,3,213,Lost Customers
12437.0,2,18,109789776,5,5,5,555,Champions
12438.0,14,2,171954834,4,2,5,425,At Risk
12441.0,367,1,2099955,1,1,1,111,Lost Customers
12442.0,3,1,3131492,5,1,2,512,At Risk
12444.0,21,5,154145201,4,4,5,445,Loyal Customers
12445.0,22,1,827080,4,1,1,411,At Risk
12446.0,58,1,35281312,3,1,4,314,At Risk
12447.0,243,1,9053310,1,1,3,113,Lost Customers
12448.0,44,1,10921635,3,1,3,313,At Risk
12449.0,22,4,165089979,4,4,5,445,Loyal Customers
12450.0,156,2,1266432,2,2,1,221,Lost Customers
12451.0,11,5,1589299801,5,4,5,545,Loyal Customers
12452.0,17,2,6431431,4,2,2,422,At Risk
12453.0,134,1,33445357,2,1,4,214,Lost Customers
12454.0,56,1,354951004,3,1,5,315,At Risk
12455.0,73,6,270147908,2,4,5,245,Potential Customers
12456.0,44,3,176337849,3,3,5,335,Potential Customers
12457.0,66,7,46493363,3,5,4,354,Potential Customers
12458.0,71,2,23861168,3,2,4,324,At Risk
12461.0,94,2,17778016,2,2,3,223,Lost Customers
12462.0,19,2,32516809,4,2,4,424,At Risk
12463.0,53,4,26198138,3,4,4,344,Potential Customers
12464.0,10,8,1960525,5,5,1,551,Loyal Customers
12465.0,17,2,18536761,4,2,3,423,At Risk
12468.0,188,2,14965398,1,2,3,123,Lost Customers
12471.0,2,30,1011460695,5,5,5,555,Champions
12472.0,32,7,480185655,4,5,5,455,Loyal Customers
12473.0,29,5,318625999,4,4,5,445,Loyal Customers
12474.0,17,18,282910436,4,5,5,455,Loyal Customers
12475.0,54,1,38700830,3,1,4,314,At Risk
12476.0,16,11,256927038,4,5,5,455,Loyal Customers
12477.0,23,6,975980956,4,4,5,445,Loyal Customers
12478.0,4,1,16071364,5,1,3,513,At Risk
12479.0,11,1,20297200,5,1,3,513,At Risk
12480.0,28,4,148489325,4,4,5,445,Loyal Customers
12481.0,23,10,253658126,4,5,5,455,Loyal Customers
12483.0,17,8,44926523,4,5,4,454,Loyal Customers
12484.0,33,6,243997425,4,4,5,445,Loyal Customers
12488.0,10,3,25621501,5,3,4,534,Potential Customers
12489.0,336,1,3516765,1,1,2,112,Lost Customers
12490.0,5,10,198742282,5,5,5,555,Champions
12491.0,39,1,11970400,3,1,3,313,At Risk
12492.0,63,2,2554977,3,2,1,321,At Risk
12493.0,166,2,4440756,2,2,2,222,Lost Customers
